,close,date,high,low,open
0,44.73,2018-04-26 13:30:00,44.75,44.71,44.75
1,44.73,2018-04-26 13:31:00,44.73,44.73,44.73
2,44.715,2018-04-26 13:32:00,44.72,44.7,44.72
3,44.715,2018-04-26 13:33:00,44.715,44.715,44.715
4,44.715,2018-04-26 13:34:00,44.715,44.715,44.715
5,44.715,2018-04-26 13:35:00,44.715,44.715,44.715
6,44.795,2018-04-26 13:36:00,44.8,44.8,44.8
7,44.835,2018-04-26 13:37:00,44.835,44.78,44.78
8,44.845,2018-04-26 13:38:00,44.83,44.83,44.83
9,44.875,2018-04-26 13:39:00,44.875,44.875,44.875
10,44.82,2018-04-26 13:40:00,44.89,44.89,44.89
11,44.835,2018-04-26 13:41:00,44.835,44.825,44.825
12,44.845,2018-04-26 13:42:00,44.85,44.82,44.82
13,44.835,2018-04-26 13:43:00,44.85,44.835,44.85
14,44.835,2018-04-26 13:44:00,44.835,44.835,44.835
15,44.835,2018-04-26 13:45:00,44.835,44.835,44.835
16,44.86,2018-04-26 13:46:00,44.87,44.86,44.86
17,44.86,2018-04-26 13:47:00,44.86,44.86,44.86
18,44.85,2018-04-26 13:48:00,44.865,44.845,44.86
19,44.85,2018-04-26 13:49:00,44.85,44.85,44.85
20,44.85,2018-04-26 13:50:00,44.85,44.85,44.85
21,44.85,2018-04-26 13:51:00,44.85,44.85,44.85
22,44.85,2018-04-26 13:52:00,44.85,44.85,44.85
23,44.84,2018-04-26 13:53:00,44.85,44.82,44.85
24,44.84,2018-04-26 13:54:00,44.84,44.84,44.84
25,44.83,2018-04-26 13:55:00,44.83,44.83,44.83
26,44.85,2018-04-26 13:56:00,44.845,44.845,44.845
27,44.85,2018-04-26 13:57:00,44.85,44.835,44.85
28,44.86,2018-04-26 13:58:00,44.86,44.85,44.86
29,44.88,2018-04-26 13:59:00,44.88,44.86,44.86
30,44.855,2018-04-26 14:00:00,44.86,44.855,44.86
31,44.85,2018-04-26 14:01:00,44.85,44.85,44.85
32,44.86,2018-04-26 14:02:00,44.865,44.85,44.86
33,44.87,2018-04-26 14:03:00,44.875,44.86,44.875
34,44.87,2018-04-26 14:04:00,44.87,44.87,44.87
35,44.86,2018-04-26 14:05:00,44.865,44.85,44.86
36,44.86,2018-04-26 14:06:00,44.86,44.85,44.86
37,44.88,2018-04-26 14:07:00,44.89,44.875,44.875
38,44.845,2018-04-26 14:08:00,44.86,44.845,44.86
39,44.845,2018-04-26 14:09:00,44.845,44.845,44.845
40,44.845,2018-04-26 14:10:00,44.845,44.845,44.845
41,44.84,2018-04-26 14:11:00,44.84,44.82,44.825
42,44.8,2018-04-26 14:12:00,44.86,44.8,44.85
43,44.79,2018-04-26 14:13:00,44.79,44.78,44.79
44,44.805,2018-04-26 14:14:00,44.805,44.775,44.805
45,44.805,2018-04-26 14:15:00,44.805,44.805,44.805
46,44.8,2018-04-26 14:16:00,44.82,44.8,44.805
47,44.81,2018-04-26 14:17:00,44.81,44.79,44.79
48,44.81,2018-04-26 14:18:00,44.81,44.81,44.81
49,44.79,2018-04-26 14:19:00,44.795,44.79,44.79
50,44.76,2018-04-26 14:20:00,44.78,44.75,44.775
51,44.76,2018-04-26 14:21:00,44.76,44.76,44.76
52,44.74,2018-04-26 14:22:00,44.74,44.71,44.72
53,44.75,2018-04-26 14:23:00,44.755,44.75,44.755
54,44.75,2018-04-26 14:24:00,44.75,44.75,44.75
55,44.75,2018-04-26 14:25:00,44.75,44.75,44.75
56,44.78,2018-04-26 14:26:00,44.785,44.775,44.785
57,44.78,2018-04-26 14:27:00,44.78,44.78,44.78
58,44.78,2018-04-26 14:28:00,44.78,44.78,44.78
59,44.76,2018-04-26 14:29:00,44.795,44.76,44.79
60,44.76,2018-04-26 14:30:00,44.76,44.75,44.75
61,44.76,2018-04-26 14:31:00,44.76,44.76,44.76
62,44.76,2018-04-26 14:32:00,44.76,44.76,44.76
63,44.785,2018-04-26 14:33:00,44.79,44.775,44.78
64,44.77,2018-04-26 14:34:00,44.79,44.77,44.79
65,44.77,2018-04-26 14:35:00,44.78,44.77,44.78
66,44.77,2018-04-26 14:36:00,44.77,44.77,44.77
67,44.8,2018-04-26 14:37:00,44.8,44.78,44.79
68,44.8,2018-04-26 14:38:00,44.81,44.78,44.79
69,44.8,2018-04-26 14:39:00,44.8,44.8,44.8
70,44.8,2018-04-26 14:40:00,44.8,44.8,44.8
71,44.8,2018-04-26 14:41:00,44.8,44.8,44.8
72,44.8,2018-04-26 14:42:00,44.8,44.8,44.8
73,44.8,2018-04-26 14:43:00,44.8,44.8,44.8
74,44.8,2018-04-26 14:44:00,44.8,44.8,44.8
75,44.8,2018-04-26 14:45:00,44.8,44.8,44.8
76,44.83,2018-04-26 14:46:00,44.83,44.82,44.82
77,44.83,2018-04-26 14:47:00,44.83,44.83,44.83
78,44.83,2018-04-26 14:48:00,44.83,44.83,44.83
79,44.83,2018-04-26 14:49:00,44.83,44.83,44.83
80,44.83,2018-04-26 14:50:00,44.83,44.83,44.83
81,44.87,2018-04-26 14:51:00,44.87,44.86,44.86
82,44.87,2018-04-26 14:52:00,44.87,44.87,44.87
83,44.87,2018-04-26 14:53:00,44.87,44.87,44.87
84,44.87,2018-04-26 14:54:00,44.87,44.87,44.87
85,44.87,2018-04-26 14:55:00,44.87,44.87,44.87
86,44.87,2018-04-26 14:56:00,44.87,44.87,44.87
87,44.87,2018-04-26 14:57:00,44.87,44.87,44.87
88,44.87,2018-04-26 14:58:00,44.87,44.87,44.87
89,44.87,2018-04-26 14:59:00,44.87,44.87,44.87
90,44.8,2018-04-26 15:00:00,44.8,44.78,44.78
91,44.8,2018-04-26 15:01:00,44.805,44.79,44.79
92,44.8,2018-04-26 15:02:00,44.8,44.8,44.8
93,44.8,2018-04-26 15:03:00,44.8,44.8,44.8
94,44.8,2018-04-26 15:04:00,44.8,44.8,44.8
95,44.8,2018-04-26 15:05:00,44.8,44.8,44.8
96,44.8,2018-04-26 15:06:00,44.8,44.8,44.8
97,44.8,2018-04-26 15:07:00,44.8,44.8,44.8
98,44.805,2018-04-26 15:08:00,44.805,44.78,44.79
99,44.805,2018-04-26 15:09:00,44.805,44.805,44.805
100,44.805,2018-04-26 15:10:00,44.805,44.805,44.805
101,44.805,2018-04-26 15:11:00,44.805,44.805,44.805
102,44.805,2018-04-26 15:12:00,44.805,44.805,44.805
103,44.775,2018-04-26 15:13:00,44.78,44.765,44.78
104,44.775,2018-04-26 15:14:00,44.775,44.775,44.775
105,44.79,2018-04-26 15:15:00,44.79,44.79,44.79
106,44.79,2018-04-26 15:16:00,44.79,44.79,44.79
107,44.79,2018-04-26 15:17:00,44.79,44.79,44.79
108,44.79,2018-04-26 15:18:00,44.79,44.79,44.79
109,44.77,2018-04-26 15:19:00,44.78,44.77,44.78
110,44.755,2018-04-26 15:20:00,44.755,44.75,44.75
111,44.755,2018-04-26 15:21:00,44.765,44.75,44.765
112,44.745,2018-04-26 15:22:00,44.75,44.75,44.75
113,44.745,2018-04-26 15:23:00,44.745,44.745,44.745
114,44.725,2018-04-26 15:24:00,44.745,44.735,44.745
115,44.775,2018-04-26 15:25:00,44.735,44.72,44.72
116,44.765,2018-04-26 15:26:00,44.775,44.765,44.775
117,44.765,2018-04-26 15:27:00,44.765,44.765,44.765
118,44.765,2018-04-26 15:28:00,44.765,44.745,44.75
119,44.765,2018-04-26 15:29:00,44.765,44.765,44.765
120,44.76,2018-04-26 15:30:00,44.76,44.75,44.75
121,44.775,2018-04-26 15:31:00,44.78,44.775,44.78
122,44.75,2018-04-26 15:32:00,44.765,44.765,44.765
123,44.745,2018-04-26 15:33:00,44.765,44.745,44.75
124,44.735,2018-04-26 15:34:00,44.735,44.735,44.735
