,close,date,high,low,open
0,39.97,2018-02-20 14:30:00,39.97,39.96,39.96
1,40.0,2018-02-20 14:31:00,40.01,39.96,39.97
2,40.04,2018-02-20 14:32:00,40.045,40.0,40.0
3,40.0,2018-02-20 14:33:00,40.07,40.0,40.07
4,40.0,2018-02-20 14:34:00,40.015,39.995,40.0
5,40.07,2018-02-20 14:35:00,40.07,40.0,40.0
6,40.065,2018-02-20 14:36:00,40.07,40.03,40.055
7,39.97,2018-02-20 14:37:00,40.045,39.97,40.04
8,39.9,2018-02-20 14:38:00,39.96,39.9,39.96
9,39.96,2018-02-20 14:39:00,39.96,39.905,39.905
10,39.905,2018-02-20 14:40:00,39.94,39.89,39.925
11,39.885,2018-02-20 14:41:00,39.9,39.885,39.885
12,39.89,2018-02-20 14:42:00,39.89,39.885,39.89
13,39.85,2018-02-20 14:43:00,39.89,39.85,39.89
14,39.78,2018-02-20 14:44:00,39.85,39.78,39.85
15,39.82,2018-02-20 14:45:00,39.82,39.79,39.79
16,39.89,2018-02-20 14:46:00,39.89,39.85,39.85
17,39.85,2018-02-20 14:47:00,39.86,39.85,39.86
18,39.85,2018-02-20 14:48:00,39.86,39.85,39.855
19,39.86,2018-02-20 14:49:00,39.86,39.85,39.85
20,39.865,2018-02-20 14:50:00,39.875,39.85,39.85
21,39.85,2018-02-20 14:51:00,39.865,39.85,39.85
22,39.82,2018-02-20 14:52:00,39.82,39.815,39.82
23,39.79,2018-02-20 14:53:00,39.82,39.79,39.82
24,39.82,2018-02-20 14:54:00,39.82,39.78,39.78
25,39.78,2018-02-20 14:55:00,39.795,39.78,39.795
26,39.79,2018-02-20 14:56:00,39.79,39.79,39.79
27,39.79,2018-02-20 14:57:00,39.79,39.79,39.79
28,39.78,2018-02-20 14:58:00,39.79,39.78,39.79
29,39.82,2018-02-20 14:59:00,39.82,39.795,39.795
30,39.82,2018-02-20 15:00:00,39.82,39.82,39.82
31,39.82,2018-02-20 15:01:00,39.82,39.82,39.82
32,39.82,2018-02-20 15:02:00,39.82,39.82,39.82
33,39.82,2018-02-20 15:03:00,39.86,39.82,39.86
34,39.79,2018-02-20 15:04:00,39.82,39.79,39.82
35,39.79,2018-02-20 15:05:00,39.79,39.79,39.79
36,39.79,2018-02-20 15:06:00,39.82,39.79,39.82
37,39.78,2018-02-20 15:07:00,39.79,39.78,39.79
38,39.75,2018-02-20 15:08:00,39.76,39.75,39.75
39,39.79,2018-02-20 15:09:00,39.79,39.78,39.78
40,39.82,2018-02-20 15:10:00,39.82,39.82,39.82
