,close,date,high,low,open
0,42.86,2018-01-16 14:30:00,42.9,42.86,42.89
1,42.9,2018-01-16 14:31:00,42.9,42.86,42.86
2,42.89,2018-01-16 14:32:00,42.9,42.89,42.9
3,42.9,2018-01-16 14:33:00,42.9,42.86,42.86
4,42.9,2018-01-16 14:34:00,42.9,42.88,42.9
5,42.86,2018-01-16 14:35:00,42.86,42.85,42.86
6,42.86,2018-01-16 14:36:00,42.89,42.85,42.89
7,42.85,2018-01-16 14:37:00,42.86,42.85,42.86
8,42.85,2018-01-16 14:38:00,42.86,42.85,42.86
9,42.865,2018-01-16 14:39:00,42.865,42.86,42.86
10,42.9,2018-01-16 14:40:00,42.9,42.885,42.89
11,42.85,2018-01-16 14:41:00,42.86,42.85,42.86
12,42.86,2018-01-16 14:42:00,42.86,42.85,42.855
13,42.865,2018-01-16 14:43:00,42.875,42.865,42.875
14,42.86,2018-01-16 14:44:00,42.88,42.86,42.88
15,42.85,2018-01-16 14:45:00,42.86,42.845,42.86
16,42.82,2018-01-16 14:46:00,42.85,42.82,42.85
17,42.825,2018-01-16 14:47:00,42.83,42.825,42.83
18,42.86,2018-01-16 14:48:00,42.86,42.845,42.85
19,42.85,2018-01-16 14:49:00,42.875,42.85,42.875
20,42.86,2018-01-16 14:50:00,42.86,42.85,42.85
21,42.85,2018-01-16 14:51:00,42.85,42.845,42.85
22,42.82,2018-01-16 14:52:00,42.82,42.82,42.82
23,42.83,2018-01-16 14:53:00,42.83,42.82,42.82
24,42.82,2018-01-16 14:54:00,42.82,42.82,42.82
25,42.82,2018-01-16 14:55:00,42.82,42.82,42.82
26,42.82,2018-01-16 14:56:00,42.82,42.82,42.82
27,42.84,2018-01-16 14:57:00,42.84,42.84,42.84
28,42.775,2018-01-16 14:58:00,42.775,42.775,42.775
29,42.765,2018-01-16 14:59:00,42.775,42.765,42.775
30,42.735,2018-01-16 15:00:00,42.755,42.735,42.755
31,42.71,2018-01-16 15:01:00,42.725,42.71,42.71
32,42.71,2018-01-16 15:02:00,42.71,42.71,42.71
33,42.65,2018-01-16 15:03:00,42.65,42.65,42.65
34,42.65,2018-01-16 15:04:00,42.65,42.64,42.65
35,42.68,2018-01-16 15:05:00,42.68,42.65,42.65
36,42.68,2018-01-16 15:06:00,42.68,42.68,42.68
37,42.65,2018-01-16 15:07:00,42.65,42.65,42.65
38,42.665,2018-01-16 15:08:00,42.665,42.65,42.65
39,42.665,2018-01-16 15:09:00,42.665,42.665,42.665
40,42.65,2018-01-16 15:10:00,42.65,42.65,42.65
41,42.635,2018-01-16 15:11:00,42.65,42.635,42.64
42,42.65,2018-01-16 15:12:00,42.65,42.625,42.625
43,42.65,2018-01-16 15:13:00,42.65,42.64,42.64
44,42.695,2018-01-16 15:14:00,42.695,42.68,42.68
45,42.71,2018-01-16 15:15:00,42.71,42.695,42.695
46,42.72,2018-01-16 15:16:00,42.735,42.72,42.72
47,42.72,2018-01-16 15:17:00,42.72,42.71,42.71
48,42.71,2018-01-16 15:18:00,42.72,42.71,42.72
49,42.705,2018-01-16 15:19:00,42.705,42.705,42.705
50,42.71,2018-01-16 15:20:00,42.71,42.71,42.71
51,42.71,2018-01-16 15:21:00,42.71,42.71,42.71
52,42.72,2018-01-16 15:22:00,42.72,42.72,42.72
53,42.75,2018-01-16 15:23:00,42.75,42.745,42.745
54,42.76,2018-01-16 15:24:00,42.76,42.75,42.75
55,42.78,2018-01-16 15:25:00,42.795,42.78,42.78
56,42.82,2018-01-16 15:26:00,42.82,42.78,42.78
57,42.78,2018-01-16 15:27:00,42.79,42.78,42.79
58,42.78,2018-01-16 15:28:00,42.78,42.755,42.765
59,42.79,2018-01-16 15:29:00,42.79,42.79,42.79
60,42.79,2018-01-16 15:30:00,42.795,42.79,42.79
61,42.78,2018-01-16 15:31:00,42.79,42.78,42.79
62,42.75,2018-01-16 15:32:00,42.75,42.75,42.75
63,42.75,2018-01-16 15:33:00,42.75,42.75,42.75
64,42.75,2018-01-16 15:34:00,42.75,42.72,42.725
65,42.75,2018-01-16 15:35:00,42.75,42.745,42.75
66,42.745,2018-01-16 15:36:00,42.75,42.745,42.75
67,42.75,2018-01-16 15:37:00,42.755,42.75,42.755
68,42.755,2018-01-16 15:38:00,42.765,42.75,42.75
69,42.765,2018-01-16 15:39:00,42.775,42.765,42.775
70,42.78,2018-01-16 15:40:00,42.78,42.78,42.78
71,42.79,2018-01-16 15:41:00,42.79,42.785,42.785
72,42.82,2018-01-16 15:42:00,42.82,42.82,42.82
73,42.82,2018-01-16 15:43:00,42.82,42.82,42.82
74,42.825,2018-01-16 15:44:00,42.85,42.825,42.85
75,42.86,2018-01-16 15:45:00,42.86,42.825,42.825
76,42.82,2018-01-16 15:46:00,42.865,42.82,42.865
77,42.82,2018-01-16 15:47:00,42.82,42.815,42.82
78,42.86,2018-01-16 15:48:00,42.86,42.86,42.86
79,42.82,2018-01-16 15:49:00,42.82,42.82,42.82
80,42.82,2018-01-16 15:50:00,42.82,42.82,42.82
81,42.79,2018-01-16 15:51:00,42.82,42.79,42.82
82,42.82,2018-01-16 15:52:00,42.82,42.78,42.79
83,42.805,2018-01-16 15:53:00,42.805,42.805,42.805
84,42.79,2018-01-16 15:54:00,42.79,42.79,42.79
85,42.805,2018-01-16 15:55:00,42.815,42.805,42.815
86,42.805,2018-01-16 15:56:00,42.805,42.805,42.805
87,42.805,2018-01-16 15:57:00,42.805,42.795,42.795
88,42.79,2018-01-16 15:58:00,42.815,42.79,42.805
89,42.795,2018-01-16 15:59:00,42.795,42.78,42.785
90,42.795,2018-01-16 16:00:00,42.795,42.795,42.795
91,42.79,2018-01-16 16:01:00,42.79,42.79,42.79
92,42.8,2018-01-16 16:02:00,42.8,42.78,42.79
93,42.805,2018-01-16 16:03:00,42.805,42.805,42.805
94,42.805,2018-01-16 16:04:00,42.805,42.79,42.79
95,42.805,2018-01-16 16:05:00,42.805,42.805,42.805
96,42.79,2018-01-16 16:06:00,42.79,42.79,42.79
97,42.78,2018-01-16 16:07:00,42.79,42.78,42.79
98,42.79,2018-01-16 16:08:00,42.79,42.765,42.775
99,42.78,2018-01-16 16:09:00,42.79,42.78,42.79
100,42.78,2018-01-16 16:10:00,42.785,42.775,42.78
101,42.78,2018-01-16 16:11:00,42.78,42.78,42.78
102,42.775,2018-01-16 16:12:00,42.78,42.775,42.775
103,42.78,2018-01-16 16:13:00,42.78,42.78,42.78
104,42.78,2018-01-16 16:14:00,42.78,42.78,42.78
105,42.79,2018-01-16 16:15:00,42.79,42.79,42.79
106,42.795,2018-01-16 16:16:00,42.795,42.79,42.79
107,42.805,2018-01-16 16:17:00,42.805,42.79,42.79
108,42.8,2018-01-16 16:18:00,42.8,42.8,42.8
109,42.79,2018-01-16 16:19:00,42.79,42.79,42.79
110,42.79,2018-01-16 16:20:00,42.79,42.78,42.79
111,42.785,2018-01-16 16:21:00,42.79,42.78,42.79
112,42.765,2018-01-16 16:22:00,42.765,42.765,42.765
113,42.765,2018-01-16 16:23:00,42.765,42.765,42.765
114,42.78,2018-01-16 16:24:00,42.78,42.78,42.78
115,42.78,2018-01-16 16:25:00,42.79,42.78,42.79
116,42.75,2018-01-16 16:26:00,42.75,42.745,42.75
117,42.765,2018-01-16 16:27:00,42.765,42.755,42.755
118,42.78,2018-01-16 16:28:00,42.78,42.775,42.78
119,42.745,2018-01-16 16:29:00,42.78,42.745,42.78
120,42.75,2018-01-16 16:30:00,42.75,42.75,42.75
121,42.75,2018-01-16 16:31:00,42.75,42.75,42.75
122,42.75,2018-01-16 16:32:00,42.75,42.735,42.735
123,42.78,2018-01-16 16:33:00,42.78,42.775,42.775
