,close,date,high,low,open
0,45.845,2018-06-15 13:32:00,45.845,45.845,45.845
1,45.845,2018-06-15 13:33:00,45.845,45.845,45.845
2,45.98,2018-06-15 13:34:00,45.98,45.9,45.9
3,45.85,2018-06-15 13:35:00,45.9,45.8,45.89
4,45.85,2018-06-15 13:36:00,45.85,45.85,45.85
5,45.74,2018-06-15 13:37:00,45.78,45.71,45.78
6,45.75,2018-06-15 13:38:00,45.75,45.71,45.71
7,45.73,2018-06-15 13:39:00,45.75,45.71,45.75
8,45.69,2018-06-15 13:40:00,45.72,45.69,45.72
9,45.615,2018-06-15 13:41:00,45.68,45.615,45.675
10,45.615,2018-06-15 13:42:00,45.615,45.615,45.615
11,45.6,2018-06-15 13:43:00,45.61,45.6,45.61
12,45.62,2018-06-15 13:44:00,45.59,45.585,45.585
13,45.65,2018-06-15 13:45:00,45.615,45.61,45.615
14,45.67,2018-06-15 13:46:00,45.655,45.635,45.65
15,45.67,2018-06-15 13:47:00,45.68,45.67,45.68
16,45.62,2018-06-15 13:48:00,45.64,45.63,45.64
17,45.62,2018-06-15 13:49:00,45.62,45.62,45.62
18,45.63,2018-06-15 13:50:00,45.65,45.63,45.65
19,45.63,2018-06-15 13:51:00,45.65,45.63,45.64
20,45.63,2018-06-15 13:52:00,45.64,45.64,45.64
21,45.605,2018-06-15 13:53:00,45.61,45.605,45.61
22,45.64,2018-06-15 13:54:00,45.62,45.61,45.61
23,45.64,2018-06-15 13:55:00,45.64,45.64,45.64
24,45.65,2018-06-15 13:56:00,45.66,45.65,45.65
25,45.63,2018-06-15 13:57:00,45.66,45.63,45.64
26,45.625,2018-06-15 13:58:00,45.63,45.625,45.625
27,45.66,2018-06-15 13:59:00,45.66,45.625,45.64
28,45.555,2018-06-15 14:00:00,45.68,45.555,45.68
29,45.52,2018-06-15 14:01:00,45.57,45.52,45.555
30,45.535,2018-06-15 14:02:00,45.54,45.53,45.53
31,45.555,2018-06-15 14:03:00,45.555,45.53,45.53
32,45.56,2018-06-15 14:04:00,45.57,45.56,45.57
33,45.55,2018-06-15 14:05:00,45.585,45.55,45.575
34,45.6,2018-06-15 14:06:00,45.61,45.57,45.57
35,45.57,2018-06-15 14:07:00,45.6,45.57,45.585
36,45.58,2018-06-15 14:08:00,45.58,45.54,45.545
37,45.54,2018-06-15 14:09:00,45.575,45.555,45.575
38,45.48,2018-06-15 14:10:00,45.49,45.485,45.49
39,45.49,2018-06-15 14:11:00,45.5,45.47,45.47
40,45.49,2018-06-15 14:12:00,45.49,45.49,45.49
41,45.49,2018-06-15 14:13:00,45.5,45.46,45.5
42,45.49,2018-06-15 14:14:00,45.49,45.49,45.49
43,45.425,2018-06-15 14:15:00,45.475,45.42,45.475
44,45.375,2018-06-15 14:16:00,45.4,45.39,45.4
45,45.38,2018-06-15 14:17:00,45.4,45.38,45.385
46,45.34,2018-06-15 14:18:00,45.38,45.34,45.375
47,45.32,2018-06-15 14:19:00,45.36,45.315,45.35
48,45.31,2018-06-15 14:20:00,45.335,45.335,45.335
49,45.32,2018-06-15 14:21:00,45.32,45.28,45.32
50,45.35,2018-06-15 14:22:00,45.32,45.315,45.32
51,45.365,2018-06-15 14:23:00,45.375,45.345,45.35
52,45.37,2018-06-15 14:24:00,45.37,45.35,45.35
53,45.405,2018-06-15 14:25:00,45.43,45.39,45.39
54,45.42,2018-06-15 14:26:00,45.42,45.39,45.4
55,45.47,2018-06-15 14:27:00,45.47,45.43,45.43
56,45.46,2018-06-15 14:28:00,45.485,45.455,45.475
57,45.465,2018-06-15 14:29:00,45.47,45.46,45.47
58,45.45,2018-06-15 14:30:00,45.47,45.45,45.46
59,45.475,2018-06-15 14:31:00,45.485,45.48,45.485
60,45.495,2018-06-15 14:32:00,45.495,45.495,45.495
61,45.51,2018-06-15 14:33:00,45.54,45.495,45.54
62,45.46,2018-06-15 14:34:00,45.515,45.51,45.515
63,45.415,2018-06-15 14:35:00,45.4,45.39,45.4
64,45.38,2018-06-15 14:36:00,45.4,45.38,45.385
65,45.31,2018-06-15 14:37:00,45.36,45.31,45.36
66,45.32,2018-06-15 14:38:00,45.32,45.31,45.32
67,45.32,2018-06-15 14:39:00,45.32,45.32,45.32
68,45.3,2018-06-15 14:40:00,45.365,45.35,45.36
69,45.32,2018-06-15 14:41:00,45.3,45.3,45.3
70,45.4,2018-06-15 14:42:00,45.375,45.36,45.375
71,45.435,2018-06-15 14:43:00,45.435,45.41,45.41
72,45.435,2018-06-15 14:44:00,45.435,45.435,45.435
