,close,date,high,low,open
0,42.97,2018-08-14 13:30:00,42.995,42.96,42.99
1,42.97,2018-08-14 13:31:00,42.97,42.97,42.97
2,43.045,2018-08-14 13:32:00,43.015,42.995,43.0
3,43.01,2018-08-14 13:33:00,43.045,43.045,43.045
4,43.01,2018-08-14 13:34:00,43.01,43.01,43.01
5,42.99,2018-08-14 13:35:00,43.035,42.985,43.015
6,42.99,2018-08-14 13:36:00,42.99,42.99,42.99
7,42.965,2018-08-14 13:37:00,42.975,42.94,42.96
8,42.97,2018-08-14 13:38:00,42.98,42.955,42.965
9,42.975,2018-08-14 13:39:00,42.975,42.965,42.97
10,42.975,2018-08-14 13:40:00,42.975,42.975,42.975
11,42.975,2018-08-14 13:41:00,42.975,42.975,42.975
12,42.96,2018-08-14 13:42:00,42.975,42.95,42.965
13,42.96,2018-08-14 13:43:00,42.96,42.96,42.96
14,42.96,2018-08-14 13:44:00,42.96,42.96,42.96
15,42.96,2018-08-14 13:45:00,42.96,42.96,42.96
16,42.96,2018-08-14 13:46:00,42.96,42.96,42.96
17,42.99,2018-08-14 13:47:00,42.99,42.96,42.96
18,42.99,2018-08-14 13:48:00,43.015,42.985,42.985
19,42.965,2018-08-14 13:49:00,42.98,42.96,42.965
20,42.965,2018-08-14 13:50:00,42.965,42.965,42.965
21,42.965,2018-08-14 13:51:00,42.965,42.965,42.965
22,42.9,2018-08-14 13:52:00,42.9,42.865,42.88
23,42.9,2018-08-14 13:53:00,42.9,42.9,42.9
24,42.91,2018-08-14 13:54:00,42.93,42.905,42.93
25,42.93,2018-08-14 13:55:00,42.94,42.925,42.94
26,42.92,2018-08-14 13:56:00,42.935,42.91,42.91
27,42.92,2018-08-14 13:57:00,42.935,42.9,42.915
28,42.925,2018-08-14 13:58:00,42.935,42.915,42.92
29,42.9,2018-08-14 13:59:00,42.92,42.91,42.915
30,42.88,2018-08-14 14:00:00,42.915,42.89,42.9
31,42.88,2018-08-14 14:01:00,42.88,42.88,42.88
32,42.9,2018-08-14 14:02:00,42.91,42.9,42.905
33,42.89,2018-08-14 14:03:00,42.9,42.87,42.895
34,42.83,2018-08-14 14:04:00,42.89,42.83,42.89
35,42.845,2018-08-14 14:05:00,42.85,42.82,42.825
36,42.845,2018-08-14 14:06:00,42.845,42.83,42.84
37,42.83,2018-08-14 14:07:00,42.84,42.83,42.84
38,42.83,2018-08-14 14:08:00,42.84,42.825,42.84
39,42.83,2018-08-14 14:09:00,42.83,42.83,42.83
40,42.83,2018-08-14 14:10:00,42.83,42.83,42.83
41,42.83,2018-08-14 14:11:00,42.83,42.83,42.83
42,42.83,2018-08-14 14:12:00,42.83,42.83,42.83
43,42.86,2018-08-14 14:13:00,42.87,42.84,42.855
44,42.86,2018-08-14 14:14:00,42.86,42.845,42.86
45,42.86,2018-08-14 14:15:00,42.86,42.86,42.86
46,42.86,2018-08-14 14:16:00,42.86,42.86,42.86
47,42.865,2018-08-14 14:17:00,42.87,42.86,42.87
48,42.865,2018-08-14 14:18:00,42.865,42.865,42.865
49,42.865,2018-08-14 14:19:00,42.865,42.865,42.865
50,42.865,2018-08-14 14:20:00,42.865,42.865,42.865
51,42.865,2018-08-14 14:21:00,42.865,42.865,42.865
52,42.88,2018-08-14 14:22:00,42.89,42.865,42.88
53,42.88,2018-08-14 14:23:00,42.88,42.88,42.88
54,42.88,2018-08-14 14:24:00,42.88,42.88,42.88
55,42.88,2018-08-14 14:25:00,42.88,42.88,42.88
56,42.88,2018-08-14 14:26:00,42.88,42.88,42.88
57,42.88,2018-08-14 14:27:00,42.88,42.88,42.88
58,42.95,2018-08-14 14:28:00,42.94,42.93,42.93
59,42.95,2018-08-14 14:29:00,42.95,42.95,42.95
60,42.92,2018-08-14 14:30:00,42.965,42.95,42.955
61,42.92,2018-08-14 14:31:00,42.93,42.91,42.915
62,42.92,2018-08-14 14:32:00,42.92,42.92,42.92
63,42.91,2018-08-14 14:33:00,42.91,42.9,42.905
64,42.88,2018-08-14 14:34:00,42.915,42.875,42.91
65,42.88,2018-08-14 14:35:00,42.885,42.88,42.88
66,42.88,2018-08-14 14:36:00,42.88,42.88,42.88
67,42.88,2018-08-14 14:37:00,42.88,42.88,42.88
68,42.88,2018-08-14 14:38:00,42.88,42.88,42.88
69,42.88,2018-08-14 14:39:00,42.88,42.88,42.88
70,42.97,2018-08-14 14:40:00,42.97,42.965,42.965
71,42.96,2018-08-14 14:41:00,42.97,42.96,42.97
72,42.96,2018-08-14 14:42:00,42.96,42.96,42.96
73,42.96,2018-08-14 14:43:00,42.96,42.96,42.96
74,42.96,2018-08-14 14:44:00,42.96,42.96,42.96
75,42.96,2018-08-14 14:45:00,42.96,42.96,42.96
76,42.96,2018-08-14 14:46:00,42.96,42.96,42.96
77,42.94,2018-08-14 14:47:00,42.95,42.94,42.94
78,42.94,2018-08-14 14:48:00,42.94,42.94,42.94
79,42.94,2018-08-14 14:49:00,42.94,42.94,42.94
80,42.94,2018-08-14 14:50:00,42.94,42.94,42.94
81,42.94,2018-08-14 14:51:00,42.94,42.94,42.94
82,42.94,2018-08-14 14:52:00,42.94,42.94,42.94
83,42.94,2018-08-14 14:53:00,42.94,42.94,42.94
84,42.94,2018-08-14 14:54:00,42.94,42.94,42.94
85,42.94,2018-08-14 14:55:00,42.94,42.94,42.94
86,42.97,2018-08-14 14:56:00,42.975,42.97,42.975
87,42.93,2018-08-14 14:57:00,42.95,42.925,42.94
88,42.91,2018-08-14 14:58:00,42.935,42.92,42.93
89,42.91,2018-08-14 14:59:00,42.91,42.91,42.91
90,42.91,2018-08-14 15:00:00,42.91,42.91,42.91
91,42.91,2018-08-14 15:01:00,42.91,42.91,42.91
92,42.91,2018-08-14 15:02:00,42.91,42.91,42.91
93,42.91,2018-08-14 15:03:00,42.91,42.91,42.91
94,42.91,2018-08-14 15:04:00,42.91,42.91,42.91
95,42.91,2018-08-14 15:05:00,42.91,42.91,42.91
96,42.91,2018-08-14 15:06:00,42.91,42.91,42.91
97,42.91,2018-08-14 15:07:00,42.91,42.91,42.91
98,42.91,2018-08-14 15:08:00,42.91,42.91,42.91
99,42.91,2018-08-14 15:09:00,42.91,42.91,42.91
100,42.83,2018-08-14 15:10:00,42.86,42.83,42.84
101,42.83,2018-08-14 15:11:00,42.85,42.825,42.83
102,42.83,2018-08-14 15:12:00,42.83,42.83,42.83
103,42.83,2018-08-14 15:13:00,42.83,42.83,42.83
104,42.83,2018-08-14 15:14:00,42.83,42.83,42.83
105,42.83,2018-08-14 15:15:00,42.83,42.83,42.83
106,42.805,2018-08-14 15:16:00,42.82,42.81,42.81
107,42.775,2018-08-14 15:17:00,42.78,42.76,42.76
108,42.775,2018-08-14 15:18:00,42.775,42.775,42.775
109,42.775,2018-08-14 15:19:00,42.775,42.775,42.775
110,42.775,2018-08-14 15:20:00,42.775,42.775,42.775
111,42.775,2018-08-14 15:21:00,42.775,42.775,42.775
112,42.775,2018-08-14 15:22:00,42.775,42.775,42.775
113,42.775,2018-08-14 15:23:00,42.775,42.775,42.775
114,42.75,2018-08-14 15:24:00,42.75,42.75,42.75
115,42.75,2018-08-14 15:25:00,42.75,42.75,42.75
116,42.75,2018-08-14 15:26:00,42.75,42.75,42.75
117,42.71,2018-08-14 15:27:00,42.74,42.71,42.73
118,42.71,2018-08-14 15:28:00,42.71,42.71,42.71
119,42.67,2018-08-14 15:29:00,42.69,42.655,42.665
120,42.67,2018-08-14 15:30:00,42.67,42.67,42.67
121,42.7,2018-08-14 15:31:00,42.69,42.675,42.68
122,42.7,2018-08-14 15:32:00,42.7,42.7,42.7
123,42.625,2018-08-14 15:33:00,42.64,42.61,42.625
124,42.625,2018-08-14 15:34:00,42.625,42.625,42.625
125,42.61,2018-08-14 15:35:00,42.62,42.61,42.61
126,42.61,2018-08-14 15:36:00,42.61,42.61,42.61
127,42.61,2018-08-14 15:37:00,42.61,42.61,42.61
128,42.71,2018-08-14 15:38:00,42.715,42.71,42.71
129,42.72,2018-08-14 15:39:00,42.73,42.72,42.725
130,42.72,2018-08-14 15:40:00,42.72,42.72,42.72
131,42.72,2018-08-14 15:41:00,42.72,42.72,42.72
132,42.72,2018-08-14 15:42:00,42.72,42.72,42.72
133,42.72,2018-08-14 15:43:00,42.72,42.72,42.72
134,42.72,2018-08-14 15:44:00,42.72,42.72,42.72
135,42.72,2018-08-14 15:45:00,42.72,42.72,42.72
136,42.75,2018-08-14 15:46:00,42.77,42.755,42.76
137,42.73,2018-08-14 15:47:00,42.75,42.74,42.75
138,42.73,2018-08-14 15:48:00,42.73,42.73,42.73
139,42.73,2018-08-14 15:49:00,42.73,42.73,42.73
140,42.73,2018-08-14 15:50:00,42.73,42.73,42.73
141,42.73,2018-08-14 15:51:00,42.73,42.73,42.73
142,42.73,2018-08-14 15:52:00,42.73,42.73,42.73
143,42.73,2018-08-14 15:53:00,42.73,42.73,42.73
144,42.73,2018-08-14 15:54:00,42.73,42.73,42.73
145,42.7,2018-08-14 15:55:00,42.715,42.69,42.705
146,42.7,2018-08-14 15:56:00,42.7,42.7,42.7
147,42.7,2018-08-14 15:57:00,42.7,42.7,42.7
148,42.7,2018-08-14 15:58:00,42.7,42.7,42.7
149,42.7,2018-08-14 15:59:00,42.7,42.7,42.7
150,42.72,2018-08-14 16:00:00,42.725,42.7,42.7
151,42.72,2018-08-14 16:01:00,42.72,42.72,42.72
152,42.72,2018-08-14 16:02:00,42.72,42.72,42.72
153,42.74,2018-08-14 16:03:00,42.75,42.74,42.745
154,42.74,2018-08-14 16:04:00,42.74,42.74,42.74
155,42.74,2018-08-14 16:05:00,42.74,42.74,42.74
156,42.74,2018-08-14 16:06:00,42.74,42.74,42.74
157,42.74,2018-08-14 16:07:00,42.74,42.74,42.74
158,42.74,2018-08-14 16:08:00,42.74,42.74,42.74
159,42.74,2018-08-14 16:09:00,42.74,42.74,42.74
160,42.74,2018-08-14 16:10:00,42.74,42.74,42.74
161,42.74,2018-08-14 16:11:00,42.74,42.74,42.74
162,42.65,2018-08-14 16:12:00,42.66,42.65,42.66
163,42.65,2018-08-14 16:13:00,42.65,42.65,42.65
164,42.65,2018-08-14 16:14:00,42.66,42.65,42.65
165,42.65,2018-08-14 16:15:00,42.65,42.65,42.65
166,42.65,2018-08-14 16:16:00,42.65,42.65,42.65
167,42.65,2018-08-14 16:17:00,42.65,42.65,42.65
168,42.65,2018-08-14 16:18:00,42.65,42.65,42.65
169,42.65,2018-08-14 16:19:00,42.65,42.65,42.65
170,42.65,2018-08-14 16:20:00,42.65,42.65,42.65
171,42.65,2018-08-14 16:21:00,42.65,42.65,42.65
172,42.65,2018-08-14 16:22:00,42.65,42.65,42.65
173,42.65,2018-08-14 16:23:00,42.65,42.65,42.65
174,42.65,2018-08-14 16:24:00,42.65,42.65,42.65
175,42.65,2018-08-14 16:25:00,42.65,42.65,42.65
176,42.65,2018-08-14 16:26:00,42.65,42.65,42.65
177,42.675,2018-08-14 16:27:00,42.675,42.675,42.675
178,42.675,2018-08-14 16:28:00,42.675,42.675,42.675
179,42.665,2018-08-14 16:29:00,42.67,42.66,42.66
180,42.665,2018-08-14 16:30:00,42.665,42.665,42.665
181,42.665,2018-08-14 16:31:00,42.665,42.665,42.665
182,42.665,2018-08-14 16:32:00,42.665,42.665,42.665
183,42.665,2018-08-14 16:33:00,42.665,42.665,42.665
184,42.665,2018-08-14 16:34:00,42.665,42.665,42.665
185,42.665,2018-08-14 16:35:00,42.665,42.665,42.665
186,42.66,2018-08-14 16:36:00,42.66,42.65,42.655
