,close,date,high,low,open
0,66.11,2018-08-06 13:30:00,66.155,66.11,66.14
1,66.11,2018-08-06 13:31:00,66.11,66.09,66.09
2,66.11,2018-08-06 13:32:00,66.11,66.11,66.11
3,66.11,2018-08-06 13:33:00,66.11,66.11,66.11
4,66.11,2018-08-06 13:34:00,66.11,66.11,66.11
5,66.11,2018-08-06 13:35:00,66.11,66.11,66.11
6,66.11,2018-08-06 13:36:00,66.11,66.11,66.11
7,66.11,2018-08-06 13:37:00,66.11,66.11,66.11
8,66.11,2018-08-06 13:38:00,66.11,66.11,66.11
9,65.95,2018-08-06 13:39:00,65.95,65.95,65.95
10,65.95,2018-08-06 13:40:00,65.95,65.95,65.95
11,65.95,2018-08-06 13:41:00,65.95,65.95,65.95
12,65.95,2018-08-06 13:42:00,65.95,65.95,65.95
13,65.94,2018-08-06 13:43:00,65.94,65.92,65.92
14,65.94,2018-08-06 13:44:00,65.94,65.94,65.94
15,65.915,2018-08-06 13:45:00,65.92,65.915,65.92
16,66.0,2018-08-06 13:46:00,65.98,65.92,65.92
17,65.95,2018-08-06 13:47:00,66.01,65.95,66.0
18,65.92,2018-08-06 13:48:00,65.94,65.92,65.94
19,65.92,2018-08-06 13:49:00,65.92,65.92,65.92
20,65.92,2018-08-06 13:50:00,65.92,65.92,65.92
21,65.96,2018-08-06 13:51:00,65.96,65.92,65.92
22,65.96,2018-08-06 13:52:00,65.96,65.96,65.96
23,65.96,2018-08-06 13:53:00,65.96,65.96,65.96
24,65.96,2018-08-06 13:54:00,65.96,65.96,65.96
25,65.96,2018-08-06 13:55:00,65.96,65.96,65.96
26,66.01,2018-08-06 13:56:00,66.01,66.01,66.01
27,65.995,2018-08-06 13:57:00,65.995,65.995,65.995
28,66.02,2018-08-06 13:58:00,66.03,66.02,66.03
29,65.995,2018-08-06 13:59:00,65.995,65.995,65.995
30,66.04,2018-08-06 14:00:00,66.04,66.04,66.04
31,66.04,2018-08-06 14:01:00,66.04,66.04,66.04
32,65.99,2018-08-06 14:02:00,65.99,65.99,65.99
33,65.99,2018-08-06 14:03:00,65.99,65.99,65.99
34,66.03,2018-08-06 14:04:00,66.03,66.03,66.03
35,66.03,2018-08-06 14:05:00,66.03,66.03,66.03
36,66.02,2018-08-06 14:06:00,66.02,65.995,65.995
37,66.05,2018-08-06 14:07:00,66.05,66.05,66.05
38,66.05,2018-08-06 14:08:00,66.05,66.05,66.05
39,66.05,2018-08-06 14:09:00,66.05,66.05,66.05
40,66.155,2018-08-06 14:10:00,66.155,66.15,66.15
41,66.155,2018-08-06 14:11:00,66.155,66.155,66.155
42,66.14,2018-08-06 14:12:00,66.14,66.14,66.14
43,66.16,2018-08-06 14:13:00,66.16,66.16,66.16
44,66.16,2018-08-06 14:14:00,66.16,66.16,66.16
45,66.16,2018-08-06 14:15:00,66.16,66.16,66.16
46,66.13,2018-08-06 14:16:00,66.13,66.13,66.13
47,66.15,2018-08-06 14:17:00,66.15,66.15,66.15
48,66.15,2018-08-06 14:18:00,66.15,66.15,66.15
49,66.15,2018-08-06 14:19:00,66.15,66.15,66.15
50,66.15,2018-08-06 14:20:00,66.15,66.15,66.15
51,66.12,2018-08-06 14:21:00,66.13,66.12,66.125
52,66.12,2018-08-06 14:22:00,66.12,66.12,66.12
53,66.12,2018-08-06 14:23:00,66.12,66.12,66.12
54,66.12,2018-08-06 14:24:00,66.12,66.12,66.12
55,66.12,2018-08-06 14:25:00,66.12,66.12,66.12
56,66.12,2018-08-06 14:26:00,66.12,66.12,66.12
57,66.15,2018-08-06 14:27:00,66.15,66.15,66.15
58,66.15,2018-08-06 14:28:00,66.15,66.15,66.15
59,66.15,2018-08-06 14:29:00,66.15,66.15,66.15
60,66.23,2018-08-06 14:30:00,66.23,66.19,66.19
61,66.2,2018-08-06 14:31:00,66.22,66.2,66.22
62,66.2,2018-08-06 14:32:00,66.2,66.2,66.2
63,66.24,2018-08-06 14:33:00,66.24,66.24,66.24
64,66.26,2018-08-06 14:34:00,66.27,66.26,66.27
65,66.27,2018-08-06 14:35:00,66.27,66.27,66.27
66,66.26,2018-08-06 14:36:00,66.26,66.26,66.26
67,66.26,2018-08-06 14:37:00,66.26,66.26,66.26
68,66.26,2018-08-06 14:38:00,66.26,66.26,66.26
69,66.26,2018-08-06 14:39:00,66.26,66.26,66.26
70,66.26,2018-08-06 14:40:00,66.26,66.26,66.26
71,66.26,2018-08-06 14:41:00,66.27,66.26,66.27
72,66.26,2018-08-06 14:42:00,66.26,66.26,66.26
73,66.3,2018-08-06 14:43:00,66.31,66.3,66.31
74,66.32,2018-08-06 14:44:00,66.32,66.32,66.32
75,66.32,2018-08-06 14:45:00,66.32,66.32,66.32
76,66.3,2018-08-06 14:46:00,66.32,66.3,66.32
77,66.3,2018-08-06 14:47:00,66.3,66.3,66.3
78,66.28,2018-08-06 14:48:00,66.28,66.27,66.27
79,66.28,2018-08-06 14:49:00,66.28,66.28,66.28
80,66.28,2018-08-06 14:50:00,66.28,66.28,66.28
81,66.31,2018-08-06 14:51:00,66.31,66.31,66.31
82,66.29,2018-08-06 14:52:00,66.32,66.29,66.32
83,66.3,2018-08-06 14:53:00,66.3,66.3,66.3
84,66.3,2018-08-06 14:54:00,66.3,66.3,66.3
85,66.35,2018-08-06 14:55:00,66.35,66.35,66.35
86,66.35,2018-08-06 14:56:00,66.35,66.35,66.35
87,66.35,2018-08-06 14:57:00,66.35,66.35,66.35
88,66.35,2018-08-06 14:58:00,66.35,66.35,66.35
89,66.4,2018-08-06 14:59:00,66.4,66.38,66.38
90,66.37,2018-08-06 15:00:00,66.4,66.37,66.4
91,66.37,2018-08-06 15:01:00,66.37,66.37,66.37
92,66.37,2018-08-06 15:02:00,66.38,66.37,66.38
93,66.37,2018-08-06 15:03:00,66.39,66.37,66.39
94,66.37,2018-08-06 15:04:00,66.37,66.37,66.37
95,66.38,2018-08-06 15:05:00,66.38,66.38,66.38
96,66.39,2018-08-06 15:06:00,66.39,66.39,66.39
97,66.39,2018-08-06 15:07:00,66.39,66.39,66.39
98,66.39,2018-08-06 15:08:00,66.39,66.38,66.38
99,66.39,2018-08-06 15:09:00,66.39,66.39,66.39
100,66.39,2018-08-06 15:10:00,66.39,66.39,66.39
101,66.39,2018-08-06 15:11:00,66.39,66.39,66.39
102,66.4,2018-08-06 15:12:00,66.41,66.4,66.41
103,66.39,2018-08-06 15:13:00,66.395,66.39,66.395
104,66.385,2018-08-06 15:14:00,66.385,66.375,66.375
105,66.39,2018-08-06 15:15:00,66.39,66.39,66.39
106,66.39,2018-08-06 15:16:00,66.39,66.39,66.39
107,66.39,2018-08-06 15:17:00,66.39,66.39,66.39
108,66.355,2018-08-06 15:18:00,66.37,66.355,66.37
109,66.35,2018-08-06 15:19:00,66.365,66.35,66.365
110,66.32,2018-08-06 15:20:00,66.34,66.32,66.34
111,66.32,2018-08-06 15:21:00,66.32,66.32,66.32
112,66.38,2018-08-06 15:22:00,66.355,66.35,66.355
113,66.38,2018-08-06 15:23:00,66.38,66.38,66.38
114,66.37,2018-08-06 15:24:00,66.37,66.365,66.365
115,66.37,2018-08-06 15:25:00,66.37,66.37,66.37
116,66.37,2018-08-06 15:26:00,66.37,66.37,66.37
117,66.36,2018-08-06 15:27:00,66.36,66.36,66.36
118,66.34,2018-08-06 15:28:00,66.345,66.34,66.345
119,66.34,2018-08-06 15:29:00,66.34,66.34,66.34
120,66.34,2018-08-06 15:30:00,66.34,66.34,66.34
121,66.31,2018-08-06 15:31:00,66.32,66.31,66.32
122,66.3,2018-08-06 15:32:00,66.3,66.3,66.3
