,close,date,high,low,open
0,69.29,2018-07-20 13:30:00,69.29,69.29,69.29
1,69.4,2018-07-20 13:31:00,69.405,69.4,69.405
2,69.4,2018-07-20 13:32:00,69.4,69.4,69.4
3,69.48,2018-07-20 13:33:00,69.48,69.455,69.455
4,69.49,2018-07-20 13:34:00,69.495,69.48,69.48
5,69.49,2018-07-20 13:35:00,69.49,69.49,69.49
6,69.54,2018-07-20 13:36:00,69.54,69.54,69.54
7,69.53,2018-07-20 13:37:00,69.55,69.53,69.55
8,69.59,2018-07-20 13:38:00,69.59,69.59,69.59
9,69.59,2018-07-20 13:39:00,69.59,69.59,69.59
10,69.59,2018-07-20 13:40:00,69.59,69.59,69.59
11,69.7,2018-07-20 13:41:00,69.7,69.7,69.7
12,69.7,2018-07-20 13:42:00,69.7,69.7,69.7
13,69.71,2018-07-20 13:43:00,69.71,69.71,69.71
14,69.71,2018-07-20 13:44:00,69.71,69.71,69.71
15,69.66,2018-07-20 13:45:00,69.66,69.66,69.66
16,69.66,2018-07-20 13:46:00,69.66,69.66,69.66
17,69.57,2018-07-20 13:47:00,69.57,69.57,69.57
18,69.57,2018-07-20 13:48:00,69.57,69.57,69.57
19,69.58,2018-07-20 13:49:00,69.58,69.58,69.58
20,69.58,2018-07-20 13:50:00,69.58,69.58,69.58
21,69.58,2018-07-20 13:51:00,69.58,69.58,69.58
22,69.57,2018-07-20 13:52:00,69.57,69.57,69.57
23,69.57,2018-07-20 13:53:00,69.57,69.57,69.57
24,69.57,2018-07-20 13:54:00,69.57,69.57,69.57
25,69.57,2018-07-20 13:55:00,69.57,69.57,69.57
26,69.57,2018-07-20 13:56:00,69.57,69.57,69.57
27,69.69,2018-07-20 13:57:00,69.69,69.69,69.69
28,69.69,2018-07-20 13:58:00,69.69,69.69,69.69
29,69.69,2018-07-20 13:59:00,69.69,69.69,69.69
30,69.805,2018-07-20 14:00:00,69.805,69.805,69.805
31,69.785,2018-07-20 14:01:00,69.785,69.785,69.785
32,69.785,2018-07-20 14:02:00,69.785,69.785,69.785
33,69.785,2018-07-20 14:03:00,69.785,69.785,69.785
34,69.75,2018-07-20 14:04:00,69.75,69.75,69.75
35,69.79,2018-07-20 14:05:00,69.79,69.78,69.78
36,69.79,2018-07-20 14:06:00,69.79,69.79,69.79
37,69.79,2018-07-20 14:07:00,69.79,69.79,69.79
38,69.6,2018-07-20 14:08:00,69.6,69.6,69.6
39,69.6,2018-07-20 14:09:00,69.6,69.6,69.6
40,69.6,2018-07-20 14:10:00,69.6,69.6,69.6
41,69.6,2018-07-20 14:11:00,69.6,69.6,69.6
42,69.6,2018-07-20 14:12:00,69.6,69.6,69.6
43,69.6,2018-07-20 14:13:00,69.6,69.6,69.6
44,69.6,2018-07-20 14:14:00,69.6,69.6,69.6
45,69.6,2018-07-20 14:15:00,69.6,69.6,69.6
46,69.4,2018-07-20 14:16:00,69.4,69.4,69.4
47,69.4,2018-07-20 14:17:00,69.4,69.4,69.4
48,69.4,2018-07-20 14:18:00,69.4,69.4,69.4
49,69.34,2018-07-20 14:19:00,69.34,69.34,69.34
50,69.34,2018-07-20 14:20:00,69.34,69.34,69.34
51,69.34,2018-07-20 14:21:00,69.34,69.34,69.34
52,69.54,2018-07-20 14:22:00,69.54,69.54,69.54
53,69.57,2018-07-20 14:23:00,69.57,69.57,69.57
54,69.57,2018-07-20 14:24:00,69.57,69.57,69.57
55,69.57,2018-07-20 14:25:00,69.57,69.57,69.57
56,69.57,2018-07-20 14:26:00,69.57,69.57,69.57
57,69.57,2018-07-20 14:27:00,69.57,69.57,69.57
58,69.57,2018-07-20 14:28:00,69.57,69.57,69.57
59,69.57,2018-07-20 14:29:00,69.57,69.57,69.57
60,69.57,2018-07-20 14:30:00,69.57,69.57,69.57
61,69.54,2018-07-20 14:31:00,69.54,69.54,69.54
62,69.59,2018-07-20 14:32:00,69.59,69.59,69.59
63,69.59,2018-07-20 14:33:00,69.59,69.59,69.59
64,69.59,2018-07-20 14:34:00,69.59,69.59,69.59
65,69.59,2018-07-20 14:35:00,69.59,69.59,69.59
66,69.59,2018-07-20 14:36:00,69.59,69.59,69.59
67,69.59,2018-07-20 14:37:00,69.59,69.59,69.59
68,69.59,2018-07-20 14:38:00,69.59,69.59,69.59
69,69.59,2018-07-20 14:39:00,69.59,69.59,69.59
70,69.59,2018-07-20 14:40:00,69.59,69.59,69.59
71,69.59,2018-07-20 14:41:00,69.59,69.59,69.59
72,69.59,2018-07-20 14:42:00,69.59,69.59,69.59
73,69.59,2018-07-20 14:43:00,69.59,69.59,69.59
74,69.59,2018-07-20 14:44:00,69.59,69.59,69.59
75,69.59,2018-07-20 14:45:00,69.59,69.59,69.59
76,69.59,2018-07-20 14:46:00,69.59,69.59,69.59
77,69.59,2018-07-20 14:47:00,69.59,69.59,69.59
78,69.59,2018-07-20 14:48:00,69.59,69.59,69.59
